Feature,Importance
SNDP_lag2,0.4835548102769751
SNDP_lag1,0.24518054757291668
TEMP,0.12744030866724382
TEMP_lag1,0.07888166202259901
MAX,0.042157984765700526
MIN,0.014829226250604533
SNDP_diff,0.0020950519771013986
month_sin,0.0018296130098287059
LATITUDE,0.0013715262682816136
is_Snow,0.0010153676732181148
Solid_PRCP,0.0004559694341374214
ELEVATION,0.00041364767827281704
month_cos,0.00026427249233173703
DEWP,0.00015858007670289012
PRCP,0.00015562811056792452
LONGITUDE,7.321977609430512e-05
STP,4.244534435517268e-05
is_Rain,4.231097593401371e-05
VISIB,1.2678460118898551e-05
MXSPD,1.098735467810366e-05
SLP,8.707607048107055e-06
WDSP,3.3093504642826493e-06
is_Fog,1.5565881097069072e-06
is_Thunder,5.879866010394997e-07
is_Hail,2.8011407675894336e-10
is_Tornado,0.0
